cell_id,arm,trial_index,seed,param_Dpd,param_alpha,param_R,Tproc_s,Ttx_s,Bpw_bytes,eta,deadline_s,Pcomplete,n_rounds,n_clients,status,duration_s,error
Dpd=10MB|R=5|alpha=0.5,FL,0,604027551,10MB,0.5,5,4.164632705971599,4.164409709046595,2000000,0.5,4.194304,1,5,4,ok,4.164868593215942,
Dpd=10MB|R=5|alpha=0.5,Centralized,0,604027551,10MB,0.5,5,8.970068424008787,8.970068424008787,10485760,1.0,4.194304,0,1,4,ok,8.970523834228516,
Dpd=10MB|R=5|alpha=0.5,FL,1,80608451,10MB,0.5,5,4.203525310033001,4.203376135905273,2000000,0.5,4.194304,0,5,4,ok,4.203766584396362,
Dpd=10MB|R=5|alpha=0.5,Centralized,1,80608451,10MB,0.5,5,8.851716735982336,8.851716735982336,10485760,1.0,4.194304,0,1,4,ok,8.852170705795288,
Dpd=10MB|R=5|alpha=0.5,FL,2,2837354639,10MB,0.5,5,4.202402725000866,4.2022511509712785,2000000,0.5,4.194304,0,5,4,ok,4.202638626098633,
Dpd=10MB|R=5|alpha=0.5,Centralized,2,2837354639,10MB,0.5,5,8.851115224999376,8.851115224999376,10485760,1.0,4.194304,0,1,4,ok,8.851592063903809,
Dpd=10MB|R=5|alpha=0.5,FL,3,1663600522,10MB,0.5,5,4.202886156970635,4.2027324478840455,2000000,0.5,4.194304,0,5,4,ok,4.203132390975952,
Dpd=10MB|R=5|alpha=0.5,Centralized,3,1663600522,10MB,0.5,5,8.849185985978693,8.849185985978693,10485760,1.0,4.194304,0,1,4,ok,8.849669456481934,
Dpd=10MB|R=5|alpha=0.5,FL,4,2406322724,10MB,0.5,5,4.202334785019048,4.202182875014842,2000000,0.5,4.194304,0,5,4,ok,4.202576398849487,
Dpd=10MB|R=5|alpha=0.5,Centralized,4,2406322724,10MB,0.5,5,8.848017604090273,8.848017604090273,10485760,1.0,4.194304,0,1,4,ok,8.848535060882568,
