cell_id,arm,trial_index,seed,param_Dpd,param_alpha,param_R,Tproc_s,Ttx_s,Bpw_bytes,eta,deadline_s,Pcomplete,n_rounds,n_clients,status,duration_s,error
Dpd=100MB|R=20|alpha=1.0,FL,0,1465010182,100MB,1.0,20,51.27356040396262,51.27332372323144,8000000,0.5,83.88608,1,20,4,ok,51.27380299568176,
Dpd=100MB|R=20|alpha=1.0,Centralized,0,1465010182,100MB,1.0,20,870.7364779959898,870.7364779959898,104857600,1.0,83.88608,0,1,4,ok,870.7373976707458,
Dpd=100MB|R=20|alpha=1.0,FL,1,4052826986,100MB,1.0,20,51.706145253032446,51.70594658819027,8000000,0.5,83.88608,1,20,4,ok,51.706411838531494,
Dpd=100MB|R=20|alpha=1.0,Centralized,1,4052826986,100MB,1.0,20,872.0789833409945,872.0789833409945,104857600,1.0,83.88608,0,1,4,ok,872.0798578262329,
Dpd=100MB|R=20|alpha=1.0,FL,2,3333267642,100MB,1.0,20,51.42750375892501,51.42730673693586,8000000,0.5,83.88608,1,20,4,ok,51.427788972854614,
Dpd=100MB|R=20|alpha=1.0,Centralized,2,3333267642,100MB,1.0,20,874.5431780619547,874.5431780619547,104857600,1.0,83.88608,0,1,4,ok,874.5450422763824,
Dpd=100MB|R=20|alpha=1.0,FL,3,1964942505,100MB,1.0,20,52.43009769602213,52.42989878705703,8000000,0.5,83.88608,1,20,4,ok,52.43036675453186,
Dpd=100MB|R=20|alpha=1.0,Centralized,3,1964942505,100MB,1.0,20,873.7436911470722,873.7436911470722,104857600,1.0,83.88608,0,1,4,ok,873.7445871829987,
Dpd=100MB|R=20|alpha=1.0,FL,4,3288173415,100MB,1.0,20,51.31664215901401,51.31644821190275,8000000,0.5,83.88608,1,20,4,ok,51.31691861152649,
Dpd=100MB|R=20|alpha=1.0,Centralized,4,3288173415,100MB,1.0,20,870.719097211957,870.719097211957,104857600,1.0,83.88608,0,1,4,ok,870.7197892665863,
Dpd=100MB|R=20|alpha=1.0,FL,5,264689826,100MB,1.0,20,51.82427650305908,51.82411136594601,8000000,0.5,83.88608,1,20,4,ok,51.8245735168457,
Dpd=100MB|R=20|alpha=1.0,Centralized,5,264689826,100MB,1.0,20,874.542603838956,874.542603838956,104857600,1.0,83.88608,0,1,4,ok,874.5434503555298,
Dpd=100MB|R=20|alpha=1.0,FL,6,406947271,100MB,1.0,20,51.78174886596389,51.78155425272416,8000000,0.5,83.88608,1,20,4,ok,51.782012701034546,
Dpd=100MB|R=20|alpha=1.0,Centralized,6,406947271,100MB,1.0,20,877.4789964519441,877.4789964519441,104857600,1.0,83.88608,0,1,4,ok,877.479665517807,
Dpd=100MB|R=20|alpha=1.0,FL,7,1658340371,100MB,1.0,20,51.74218733992893,51.74203575379215,8000000,0.5,83.88608,1,20,4,ok,51.74244737625122,
Dpd=100MB|R=20|alpha=1.0,Centralized,7,1658340371,100MB,1.0,20,867.316408945946,867.316408945946,104857600,1.0,83.88608,0,1,4,ok,867.3173434734344,
Dpd=100MB|R=20|alpha=1.0,FL,8,2439987040,100MB,1.0,20,52.39758074108977,52.397385435178876,8000000,0.5,83.88608,1,20,4,ok,52.39787244796753,
